nr,hashtag
4341,#makeamericagreatagain
4343,#votetrump
4343,#makeamericagreatagain
4343,#inprimary
4345,#trump2016
4345,#inprimary
4348,#trump2016
4348,#makeamericagreatagain
4367,#inprimary
4368,#trump2016
4368,#inprimary
4369,#makeamericagreatagain
4370,#apahm
4373,#whcd
4375,#fns
4379,#mayday
4380,#trump2016
4382,#womancard
4384,#womancard
4385,#trump2016
4385,#maga
4387,#lovetrumpshate
4392,#womancard
4393,#hillaryoncnn
4394,#womancard
4400,#trump2016
4405,#trump2016
4408,#womancard
4409,#womancard
4410,#indprimary
4412,#trump
4416,#makeamericagreatagain
4417,#tbt
4418,#tbt
4437,#trump2016
4438,#indiana
4439,#makeamericagreatagain
4443,#womancard
4458,#imwithher
4481,#trump2016
4485,#trump2016
4486,#trump2016
4487,#trump2016
4488,#trump2016
4494,#trump2016
4497,#votetrump
4497,#makeamericagreatagain
4498,#votetrump
4499,#votetrump
4500,#votetrump
4501,#votetrump
4508,#estoyconella
4510,#trump2016
4515,#msnbctownhall
4516,#makeamericagreatagain
4516,#trump2016
4517,#msnbctownhall
4518,#mdprimary
4518,#riprimary
4518,#ctprimary
4518,#paprimary
4518,#deprimary
4521,#estoyconella
4522,#makeamericagreatagain
4523,#paprimary
4523,#votetrump
4524,#riprimary
4524,#votetrump
4545,#gop
4545,#nyprimary
4555,#trump2016
4555,#trumptrain
4555,#makeamericagreatagain
4556,#makeamericagreatagain
4556,#trump2016
4558,#makeamericagreatagain
4558,#trump2016
4560,#makeamericagreatagain
4564,#trump2016
4566,#trump2016
4567,#makeamericagreatagain
4567,#trump2016
4568,#trump2016
4568,#makeamericagreatagain
4569,#earthday
4573,#actonclimate
4575,#makeamericagreatagain
4575,#trump2016
4583,#hillaryclinton
4583,#prince
4590,#stopgunviolence
4592,#hillaryongma
4592,#tbt
4595,#trump2016
4600,#trump2016
4600,#makeamericagreatagain
4606,#trump360
4607,#trump2016
4629,#makeamericagreatagain
4629,#trump2016
4632,#trump2016
4632,#trumptrain
4632,#makeamericagreatagain
4633,#primaryday
4634,#makeamericagreatagain
4637,#trump2016
4637,#makeamericagreatagain
4639,#primaryday
4640,#newyorkvalues
4640,#votetrump
4640,#nyprimary
4641,#trump2016
4641,#votetrumpny
4641,#primaryday
4641,#potus
4645,#votetrump
4645,#makeamericagreatagain
4646,#votetrumpny
4646,#icymi
4646,#trump2016
4647,#primaryday
4648,#primaryday
4649,#trump2016
4649,#makeamericagreatagain
4650,#primaryday
4650,#ivoted
4657,#nyprimary
4658,#fightforfamilies
4660,#eastvillage
4661,#lssc
4666,#fightforfamilies
4670,#houstonflood
4672,#fightforfamilies
4680,#newyorkvalues
4682,#makeamericagreatagain
4687,#hrc4pa
4694,#makeamericagreatagain
4694,#trump2016
4695,#trumptrain
4695,#nyprimary
4696,#trump2016
4697,#votetrumpny
4697,#makeamericagreatagain
4699,#presidenttrump
4699,#trump2016
4699,#primary
4701,#nyprimary
4702,#nyprimary
4703,#icymi
4709,#nyprimary
4709,#trump2016
4710,#trump2016
4711,#trump2016
4713,#nyprimary
4713,#trump2016
4714,#makeamericagreatagain
4714,#trump2016
4718,#trump2016
4719,#trumptrain
4719,#trump2016
4721,#newyorkvalues
4722,#makeamericagreatagain
4722,#trump2016
